name ,command
31z4_storm-docker,docker build -t 31z4_storm-docker \Repositories1\31z4_storm-docker\2.1.0\.
31z4_zookeeper-docker,docker build -t 31z4_zookeeper-docker \Repositories1\31z4_zookeeper-docker\3.6.0.
ahawkins_docker-thrift,docker build -t ahawkins_docker-thrift \Repositories1\ahawkins_docker-thrift\0.12\.
alpinelinux_docker-alpine,docker build -t alpinelinux_docker-alpine \Repositories1\docker-alpine\.
apache_couchdb-docker,docker build -t apache_couchdb-docker \Repositories1\apache_couchdb-docker\3.0.0\.
appropriate_docker-jetty,docker build -t appropriate_docker-jetty \Repositories1\appropriate_docker-jetty\9.4-jre8\.
arangodb_arangodb-docker,docker build -t arangodb_arangodb-docker \Repositories1\arangodb_arangodb-docker\alpine\3.4.0\.
aws_aws-eb-glassfish-dockerfiles,docker build -t aws_aws-eb-glassfish-dockerfiles \Repositories1\aws_aws-eb-glassfish-dockerfiles\4.0-jdk7\.
backdrop-ops_backdrop-docker,docker build -t backdrop-ops_backdrop-docker \Repositories1\backdrop-ops_backdrop-docker\1\apache\.
Bonitasoft-Community_docker_bonita,docker build -t Bonitasoft-Community_docker_bonita \Repositories1\Bonitasoft-Community_docker_bonita\7.0\.
c0b_docker-elixir,docker build -t c0b_docker-elixir \Repositories1\c0b_docker-elixir\1.2\.
carlossg_docker-maven,docker build -t carlossg_docker-maven \Repositories1\carlossg_docker-maven\amazoncorretto-8\.
composer_docker,docker build -t composer_docker \Repositories1\composer_docker\1.9\.
containous_traefik-library-image,docker build -t containous_traefik-library-image \Repositories1\traefik-library-image\alpine\.
convertigo_docker,docker build -t convertigo_docker \Repositories1\convertigo_docker\7.4\7.4.3\.
cpuguy83_docker-jruby,docker build -t cpuguy83_docker-jruby \Repositories1\cpuguy83_docker-jruby\9000\jdk\.
crate_docker-crate,docker build -t crate_docker-crate \Repositories1\crate_docker-crate\.
docker-flink_docker-flink,docker build -t docker-flink_docker-flink \Repositories1\docker-flink_docker-flink\1.9\scala_2.12-debian\.
docker-library_buildpack-deps,docker build -t docker-library_buildpack-deps \Repositories1\docker-library_buildpack-deps\bionic\.
docker-library_busybox,docker build -t docker-library_busybox \Repositories1\busybox\glibc\.
docker-library_cassandra,docker build -t docker-library_cassandra \Repositories1\docker-library_cassandra\3.0\.
docker-library_celery,docker build -t docker-library_celery \Repositories1\docker-library_celery\3.1\.
docker-library_django,docker build -t docker-library_django \Repositories1\docker-library_django\3.4\.
docker-library_drupal,docker build -t docker-library_drupal \Repositories1\docker-library_drupal\7\apache\.
docker-library_gcc,docker build -t docker-library_gcc \Repositories1\docker-library_gcc\8\.
docker-library_ghost,docker build -t docker-library_ghost \Repositories1\docker-library_ghost\3\debian\.
docker-library_golang,docker build -t docker-library_golang \Repositories1\docker-library_golang\1.13\windows\nanoserver-1809\.
