name,apt-get,cURL,wget,yum,gitclone,npm,resource1,resource2,resource3,resource4,tot_kb,tot_cmd_network
ahawkins_docker-thrift,2,1,0,0,0,0,16076.8,0,0,0,16076.8,3
alpinelinux_docker-alpine,0,0,0,0,0,0,0,0,0,0,0,0
apache_couchdb-docker,6,0,4,0,0,0,85.8,0.8,56.6,0.55,143.75,10
appropriate_docker-jetty,0,2,0,0,0,0,99523.2,0,0,0,99523.2,2
backdrop-ops_backdrop-docker,2,1,0,0,0,0,32665.6,0,0,0,32665.6,3
c0b_docker-elixir,2,1,0,0,0,0,3174.4,0,0,0,3174.4,3
carlossg_docker-maven,0,1,0,0,0,0,9318.4,0,0,0,9318.4,1
composer_docker,0,1,0,0,0,0,258,0,0,0,258,1
containous_traefik-library-image,0,0,1,0,0,0,13516.8,0,0,0,13516.8,1
cpuguy83_docker-jruby,2,1,0,0,0,0,24985.6,0,0,0,24985.6,3
crate_docker-crate,0,5,0,0,0,0,191488,55091.2,1331.2,0,247910.4,5
docker-flink_docker-flink,2,0,4,0,0,0,240640,52,0,0,240692,6
docker-library_buildpack-deps,2,0,0,0,0,0,0,0,0,0,0,2
docker-library_drupal,2,1,0,0,0,0,3276.8,0,0,0,3276.8,3
docker-library_golang,0,0,1,0,0,0,21196.8,0,0,0,21196.8,1
docker-library_memcached,4,0,1,0,0,0,524,0,0,0,524,5
docker-library_mongo,9,0,3,0,0,0,56.3,8089.6,0,0,8145.9,12
docker-library_mysql,0,0,0,3,0,0,29.7,0,0,0,29.7,3
docker-library_openjdk,0,0,1,0,0,0,194560,0,0,0,194560,1
docker-library_php,2,0,0,0,0,0,0,0,0,0,0,2
docker-library_postgres,0,0,3,0,0,0,19865.6,44.3,36.5,0,19946.4,3
docker-library_pypy,2,0,2,0,0,0,24985.6,1843.3,0,0,26828.9,4
docker-library_redis,0,0,1,0,0,0,9318.4,0,0,0,9318.4,1
docker-library_ruby,0,0,2,0,0,0,2.6,128.6,0,0,131.2,2
docker-library_tomcat,0,1,0,0,0,0,9318.4,0,0,0,9318.4,1
docker-library_wordpress,4,1,0,0,0,0,12083.2,0,0,0,12083.2,5
docker-solr_docker-solr,2,0,6,0,0,0,56.3,125,171008,0,171189.3,8
docker_distribution-library-image,0,0,0,0,0,0,0,0,0,0,0,0
eclipse_mosquitto,0,0,3,0,0,0,597,597,0,0,1194,3
erlang_docker-erlang-otp,3,3,0,0,0,0,941.5,372,180224,0,181537.5,6
fluent_fluentd-docker-image,3,0,3,0,0,0,85.8,439,0,0,524.8,6
friendica_docker,4,4,0,0,0,0,40038.4,30003.2,125,0,70166.6,8
fsprojects_docker-fsharp,2,1,0,0,0,0,110592,0,0,0,110592,3
geonetwork_docker-geonetwork,0,1,0,0,0,0,204800,0,0,0,204800,1
hashicorp_docker-vault,0,3,0,0,0,0,48105,0,0,0,48105,3
haskell_docker-haskell,2,0,0,0,0,0,0,0,0,0,0,2
HaxeFoundation_docker-library-haxe,0,0,1,0,1,0,21606.4,514,0,0,22120.4,2
hylang_hy,1,0,0,0,0,0,0,0,0,0,0,1
ibmruntimes_ci.docker,0,0,1,0,0,0,8294.4,0,0,0,8294.4,1
jenkinsci_docker,4,4,0,0,0,0,5.8,85.8,75571.2,0,75662.8,8
joomla_docker-joomla,2,1,0,0,0,0,7782.4,0,0,0,7782.4,3
juanluisbaptiste_docker-brew-mageia,0,0,1,0,0,0,2969.6,0,0,0,2969.6,1
keeganwitt_docker-gradle,2,0,1,0,0,0,99328,0,0,0,99328,3
Lightstreamer_Docker,0,2,0,0,0,0,45568,0,0,0,45568,2
mongo-express_mongo-express-docker,0,0,0,0,0,1,29696,0,0,0,29696,1
mono_docker,1,0,0,0,0,0,0,0,0,0,0,1
nats-io_nats-streaming-docker,0,0,0,0,0,0,0,0,0,0,0,0
nginxinc_docker-nginx,0,0,1,0,0,0,1,0,0,0,1,1
nodejs_docker-node,0,5,0,0,0,0,1228.8,0,0,0,1228.8,5
OpenLiberty_ci.docker,0,0,0,0,0,0,0,0,0,0,0,0
orientechnologies_orientdb-docker,0,0,1,0,0,0,37990.4,0,0,0,37990.4,1
osrf_docker_images,0,0,0,0,1,0,316.8,0,0,0,316.8,1
Perl_docker-perl,2,2,0,0,0,0,12392.2,0,0,0,12392.2,4
plone_plone.docker,3,0,1,0,0,0,4300.8,0,0,0,4300.8,4
postfixadmin_docker,2,1,0,0,0,0,4096,0,0,0,4096,3
Quantisan_docker-clojure,0,0,1,0,0,0,1.5,0,0,0,1.5,1
rocker-org_rocker,4,0,0,0,0,0,0,0,0,0,0,4
RocketChat_Docker.Official.Image,5,4,0,0,0,0,30515.2,50892.8,0,0,81408,9
rust-lang_docker-rust,0,0,1,0,0,0,11571.2,0,0,0,0,1
Silverpeas_docker-silverpeas-prod,2,0,5,0,0,0,3788.8,6860.8,108748.8,38707.2,158105.6,7
SonarSource_docker-sonarqube,0,2,0,0,0,0,217088,0,0,0,217088,2
SWI-Prolog_docker-swipl,5,0,0,0,5,0,397.6,349.2,39.5,113.9,900.2,10
TeamSpeak-Systems_teamspeak-linux-docker-images,0,0,1,0,0,0,8294.4,0,0,0,8294.4,1
tianon_docker-bash,0,0,4,0,0,0,9932.8,50.3,0,0,9983.1,4
TimWolla_docker-adminer,0,2,0,0,0,0,478,1945.6,0,0,2423.6,2
TimWolla_docker-spiped,4,1,0,0,0,0,92.2,0,0,0,92.2,5
tomitribe_docker-tomee,0,2,0,0,0,0,41164.8,0,0,0,41164.8,2
WASdev_ci.docker,2,0,1,0,0,0,88678.4,0,0,0,88678.4,3
YOURLS_docker-yourls,0,0,1,0,0,0,5529.6,0,0,0,5529.6,1
znc_znc-docker,0,2,0,0,0,0,2150.4,0,0,0,2150.4,2
covid19-italy,0,0,3,0,0,0,7270.4,727.8,10444.8,0,18443,3
