name,rubygems,package-json,composer,setuppy,podfile,pom-xml,gradle,Makefile-pl,rlibary,tot_dependencies
ahawkins_docker-thrift,9,36,3,1,0,6,0,0,0,55
alpinelinux_docker-alpine,0,0,0,0,0,0,0,0,0,0
apache_couchdb-docker,0,0,0,0,0,0,0,0,0,0
appropriate_docker-jetty,0,0,0,0,0,0,0,0,0,0
backdrop-ops_backdrop-docker,0,0,0,1,0,0,0,0,0,1
c0b_docker-elixir,0,0,0,0,0,0,0,0,0,0
carlossg_docker-maven,0,0,0,0,0,1,0,0,0,1
composer_docker,0,0,0,0,0,0,0,0,0,0
containous_traefik-library-image,0,26,0,0,0,0,0,0,0,26
cpuguy83_docker-jruby,2,0,0,0,0,64,0,0,0,66
crate_docker-crate,0,0,0,7,0,0,0,0,0,7
docker-flink_docker-flink,0,0,0,0,0,0,0,0,0,0
docker-library_buildpack-deps,0,0,0,0,0,0,0,0,0,0
docker-library_drupal,0,0,0,0,0,0,0,0,0,0
docker-library_golang,0,0,0,0,0,0,0,0,0,0
docker-library_memcached,0,0,0,0,0,0,0,0,0,0
docker-library_mongo,0,11,0,0,0,0,0,0,0,11
docker-library_mysql,0,0,0,0,0,0,0,0,0,0
docker-library_openjdk,0,0,0,0,0,0,0,0,0,0
docker-library_php,0,0,0,0,0,0,0,0,0,0
docker-library_postgres,0,0,0,0,0,0,0,0,0,0
docker-library_pypy,0,0,0,2,0,0,0,0,0,2
docker-library_redis,0,0,0,0,0,0,0,0,0,0
docker-library_ruby,28,0,0,0,0,0,0,0,0,28
docker-library_tomcat,0,0,0,0,0,10,0,0,0,10
docker-library_wordpress,0,0,2,0,0,0,0,0,0,2
docker-solr_docker-solr,0,0,0,0,0,0,0,0,0,0
docker_distribution-library-image,0,0,0,0,0,0,0,0,0,0
eclipse_mosquitto,0,0,0,0,0,0,0,0,0,0
erlang_docker-erlang-otp,0,0,0,0,0,0,0,0,0,0
fluent_fluentd-docker-image,0,0,0,0,0,0,0,0,0,0
friendica_docker,0,0,0,0,0,0,0,0,0,0
fsprojects_docker-fsharp,0,0,0,0,0,0,0,0,0,0
geonetwork_docker-geonetwork,0,0,0,0,0,102,0,0,0,102
hashicorp_docker-vault,0,0,0,0,0,0,0,0,0,0
haskell_docker-haskell,0,0,0,0,0,0,0,0,0,0
HaxeFoundation_docker-library-haxe,0,0,0,0,0,0,0,0,0,0
hylang_hy,0,0,0,5,0,0,0,0,0,5
ibmruntimes_ci.docker,0,0,0,0,0,0,0,0,0,0
jenkinsci_docker,4,0,0,0,0,0,0,0,0,4
joomla_docker-joomla,0,12,29,0,0,0,0,0,0,41
juanluisbaptiste_docker-brew-mageia,3,0,0,0,0,0,0,0,0,3
keeganwitt_docker-gradle,0,0,0,0,0,0,2,2,2,6
Lightstreamer_Docker,0,0,0,0,0,0,0,0,0,0
mongo-express_mongo-express-docker,0,334,0,0,0,0,0,0,0,334
mono_docker,0,0,0,0,0,0,0,0,0,0
nats-io_nats-streaming-docker,0,0,0,0,0,0,0,0,0,0
nginxinc_docker-nginx,0,0,0,0,0,0,0,0,0,0
nodejs_docker-node,13,20,0,0,0,0,0,0,0,33
OpenLiberty_ci.docker,0,0,0,0,0,0,0,0,0,0
orientechnologies_orientdb-docker,0,15,0,0,0,0,0,0,0,15
osrf_docker_images,3,0,0,0,0,0,0,0,0,3
Perl_docker-perl,0,0,0,0,0,0,0,68,0,68
plone_plone.docker,3,0,0,0,0,0,0,0,0,3
postfixadmin_docker,0,0,10,0,0,0,0,6,0,16
Quantisan_docker-clojure,0,0,0,0,0,0,0,0,0,0
rocker-org_rocker,0,0,0,0,0,0,0,0,2,2
RocketChat_Docker.Official.Image,4,15,0,0,0,0,0,1,0,20
rust-lang_docker-rust,0,0,0,0,0,0,0,0,0,0
Silverpeas_docker-silverpeas-prod,0,0,0,0,0,530,0,0,0,530
SonarSource_docker-sonarqube,0,5,0,0,0,0,0,0,0,5
SWI-Prolog_docker-swipl,0,0,0,0,0,0,0,0,0,0
TeamSpeak-Systems_teamspeak-linux-docker-images,0,0,0,0,0,0,0,0,0,0
tianon_docker-bash,0,0,0,0,0,0,0,0,0,0
TimWolla_docker-adminer,0,0,0,0,0,0,0,0,0,0
TimWolla_docker-spiped,0,0,0,0,0,0,0,0,0,0
tomitribe_docker-tomee,0,0,0,0,0,1,0,0,0,1
WASdev_ci.docker,0,0,0,0,0,0,0,0,0,0
YOURLS_docker-yourls,0,16,18,0,0,0,0,0,0,34
znc_znc-docker,0,0,0,0,0,0,0,0,0,0
covid19-italy,0,0,0,3,0,0,0,0,0,3
