name,FROM,LABEL,ENV,RUN,VOLUME,COPY,ENTRYPOINT,CMD,WORKDIR,USER,EXPOSE,MAINTAINER,ARG,STOPSIGNAL,ADD,SHELL,numberOfFeatures
31z4_zookeeper-docker.json,1,0,14,47,3,1,1,2,1,0,4,0,3,0,0,0,
ahawkins_docker-thrift.json,1,0,1,36,0,0,0,1,0,0,0,0,0,0,0,0,
alpinelinux_docker-alpine.json,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,
apache_couchdb-docker.json,1,1,4,81,1,3,3,1,0,0,3,0,0,0,0,0,
appropriate_docker-jetty.json,1,0,7,36,0,1,1,3,1,1,1,0,0,0,0,0,
arangodb_arangodb-docker.json,,,,,,,,,,,,,,,,,
aws_aws-eb-glassfish-dockerfiles.json,1,0,3,6,0,0,0,1,1,0,3,0,0,0,0,0,
backdrop-ops_backdrop-docker.json,1,0,2,12,0,2,1,1,1,0,0,0,0,0,0,0,
Bonitasoft-Community_docker_bonita.json,,,,,,,,,,,,,,,,,
c0b_docker-elixir.json,1,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0,
carlossg_docker-maven.json,1,0,3,8,0,2,1,1,0,0,0,0,4,0,0,0,
composer_docker.json,1,0,3,39,1,2,2,1,1,0,0,0,0,0,0,0,
containous_traefik-library-image.json,1,6,0,14,0,1,1,1,0,0,1,0,0,0,0,0,
convertigo_docker.json,,,,,,,,,,,,,,,,,
covid19-italy.json,1,0,0,4,0,2,0,8,1,0,1,1,0,0,0,0,
cpuguy83_docker-jruby.json,1,0,11,15,0,0,0,1,0,0,0,0,0,0,0,0,
crate_docker-crate.json,1,8,3,32,1,5,1,1,1,0,3,0,0,0,0,0,
docker_distribution-library-image.json,1,0,0,2,1,3,1,1,0,0,1,0,0,0,0,0,
docker_swarm-library-image.json,1,0,1,0,1,3,1,1,0,0,1,0,0,0,0,0,
docker-flink_docker-flink.json,1,0,9,42,0,1,1,1,1,0,2,0,0,0,0,0,
docker-library_buildpack-deps.json,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
docker-library_busybox.json,,,,,,,,,,,,,,,,,
docker-library_cassandra.json,,,,,,,,,,,,,,,,,
docker-library_celery.json,1,0,2,7,0,0,0,2,1,1,0,0,0,0,0,0,
docker-library_django.json,,,,,,,,,,,,,,,,,
docker-library_drupal.json,1,0,2,47,0,0,0,0,1,0,0,0,0,0,0,0,
docker-library_gcc.json,,,,,,,,,,,,,,,,,
docker-library_ghost.json,,,,,,,,,,,,,,,,,
docker-library_golang.json,1,0,3,36,0,0,0,0,1,0,0,0,0,0,0,0,
docker-library_haproxy.json,1,0,3,43,0,1,1,3,0,0,0,0,0,1,0,0,
