name,command,numeber_of_execution,buildable,category,dockerfile_loc,from,label,env,run,volume,copy,entrypoint,cmd,workdir,user,expose,maintainer,arg,stopsignal,add,shell,total_instructions,from_cmds,label_cmds,env_cmds,run_cmds,volume_cmds,copy_cmds,entrypoint_cmds,cmd_cmds,workdir_cmds,user_cmds,expose_cmds,maintainer_cmds,arg_cmds,stopsignal_cmds,add_cmds,shell_cmds,total_cmds,cpp,java,ansic,pascal,javascript,python,cs,ruby,php,earlang,perl,sh,xml,yacc,ml,lisp,lex,asm,f90,awk,obj,tcl,sed,total_loc,apt-get,cURL,wget,yum,gitclone,npm,resource1,resource2,resource3,resource4,tot_kbs,tot_cmd_network,bitrate,average_time
ahawkins_docker-thrift,docker build -t ahawkins_docker-thrift ahawkins_docker-thrift0.12.,10,true,application_platform,41,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,36,0,0,0,1,0,0,0,0,0,0,0,0,39,970705,19852,18693,14438,9454,9431,9202,8381,6962,6408,3413,1497,1021,1010,962,649,336,0,0,0,0,0,0,1082414,2,1,0,0,0,0,16076.8,0,0,0,16076.8,3,2390,658
apache_couchdb-docker,docker build -t apache_couchdb-docker apache_couchdb-docker3.0.0.,10,true,database,140,1,1,4,7,1,3,1,1,0,0,1,0,0,0,0,0,20,1,1,4,81,1,3,3,1,0,0,3,0,0,0,0,0,98,0,0,619,0,0,457,0,0,0,0,64,1090,0,0,0,0,0,0,0,0,0,0,0,2230,6,0,4,0,0,0,85.8,0.8,56.6,0.55,143.75,10,2390,406
appropriate_docker-jetty,docker build -t /repositories/appropriate_docker-jetty/9.4-jdk13,10,true,web_component,85,1,0,7,1,0,1,1,1,1,1,1,0,0,0,0,0,15,1,0,7,36,0,1,1,3,1,1,1,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,215,1399,0,0,0,0,0,0,0,0,0,0,1614,0,2,0,0,0,0,99523.2,0,0,0,99523.2,2,2390,729
backdrop-ops_backdrop-docker,docker build -t backdrop-ops_backdrop-docker backdrop-ops_backdrop-docker1apache.,10,true,application_platform,28,1,0,2,3,0,1,1,1,1,0,0,0,0,0,0,0,10,1,0,2,12,0,2,1,1,1,0,0,0,0,0,0,0,20,0,0,0,83572,14246,0,0,0,17986,0,64,1973,463,0,0,0,0,0,0,0,0,0,0,118304,2,1,0,0,0,0,32665.6,0,0,0,32665.6,3,2390,309
c0b_docker-elixir,docker build -t c0b_docker-elixir c0b_docker-elixir1.2.,10,true,language,24,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,2,15,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,9464,64,604,0,0,0,0,0,0,0,0,0,0,0,10132,2,1,0,0,0,0,3174.4,0,0,0,3174.4,3,2390,1070
carlossg_docker-maven,docker build -t carlossg_docker-maven carlossg_docker-mavenamazoncorretto-8.,10,true,other,27,1,0,3,2,0,2,1,1,0,0,0,0,4,0,0,0,14,1,0,3,8,0,2,1,1,0,0,0,0,4,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,198,35,0,0,0,0,0,0,0,0,0,0,239,0,1,0,0,0,0,9318.4,0,0,0,9318.4,1,2390,185
composer_docker,docker build -t composer_docker composer_docker1.9.,10,true,other,64,1,0,3,4,0,1,1,1,1,0,0,0,0,0,0,0,12,1,0,3,39,1,2,2,1,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,4175,0,0,78,0,0,0,0,0,0,0,0,0,0,0,4253,0,1,0,0,0,0,258,0,0,0,258,1,2390,373
containous_traefik-library-image,docker build -t containous_traefik-library-image traefik-library-imagealpine.,10,true,web_component,26,1,1,0,2,0,1,1,1,0,0,1,0,0,0,0,0,8,1,6,0,14,0,1,1,1,0,0,1,0,0,0,0,0,25,0,0,0,0,2254,0,0,0,0,0,64,695,0,0,0,0,0,0,0,0,0,0,0,3013,0,0,1,0,0,0,13516.8,0,0,0,13516.8,1,2390,106
cpuguy83_docker-jruby,docker build -t cpuguy83_docker-jruby cpuguy83_docker-jruby9000jdk.,10,true,language,35,1,0,6,5,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,4,0,2,0,8,1,0,1,1,0,0,0,0,18,0,256465,5113,0,0,0,0,540452,0,0,0,992,30437,4843,0,0,0,0,0,0,0,40,0,838342,2,1,0,0,0,0,24985.6,0,0,0,24985.6,3,2390,441
crate_docker-crate,docker build -t crate_docker-crate crate_docker-crate.,10,true,database,84,1,1,3,6,1,5,1,1,1,0,1,0,0,0,0,0,21,1,0,11,15,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,377,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,403,0,5,0,0,0,0,191488,55091.2,1331.2,0,247910.4,5,2390,908
