name,repositories,Dockerfile ,Shell,Lua,Roff,Makefile,JavaScript,PowerShell,Java,HTML,Python,Ruby,C,Other,C++,Cmake,Tcl
31z4/storm-docker,https://github.com/31z4/storm-docker.git,"81,9","18,1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
31z4/zookeeper-docker,https://github.com/31z4/zookeeper-docker.git,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ahawkins/docker-thrift,https://github.com/ahawkins/docker-thrift.git,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alpinelinux/docker-alpine,https://github.com/alpinelinux/docker-alpine.git,"2,4","56,7","40,9",0,0,0,0,0,0,0,0,0,0,0,0,0
apache/couchdb-docker,https://github.com/apache/couchdb-docker.git,"53,5","46,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
appropriate/docker-jetty,https://github.com/appropriate/docker-jetty.git,38,"55,9",0,"5,2","0,9",0,0,0,0,0,0,0,0,0,0,0
arangodb/arangodb-docker,https://github.com/arangodb/arangodb-docker.git,24,"75,8",0,0,0,"0,2",0,0,0,0,0,0,0,0,0,0
aws/aws-eb-glassfish-dockerfiles,https://github.com/aws/aws-eb-glassfish-dockerfiles.git,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backdrop-ops/backdrop-docker,https://github.com/backdrop-ops/backdrop-docker.git,"30,3","69,7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonitasoft-Community/docker_bonita,https://github.com/Bonitasoft-Community/docker_bonita.git,"16,6","83,4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
c0b/docker-elixir,https://github.com/c0b/docker-elixir.git,"91,7","8,3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
carlossg/docker-maven,https://github.com/carlossg/docker-maven.git,"27,5","59,4",0,0,0,0,"12,9","0,2",0,0,0,0,0,0,0,0
composer/docker,https://github.com/composer/docker.git,"40,8","44,7",0,0,"14,5",0,0,0,0,0,0,0,0,0,0,0
containous/traefik-library-image,https://github.com/containous/traefik-library-image.git,72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convertigo/docker,https://github.com/convertigo/docker.git,78,"18,5",0,0,0,0,0,0,"3,5",0,0,0,0,0,0,0
cpuguy83/docker-jruby,https://github.com/cpuguy83/docker-jruby.git,"92,2","7,8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
crate/docker-crate,https://github.com/crate/docker-crate.git,"27,2","8,1",0,0,0,0,0,0,0,"64,7",0,0,0,0,0,0
