"","dockerfile_loc","from","label","env","run","volume","copy","entrypoint","cmd","workdir","user","expose","maintainer","arg","stopsignal","add","shell","total_instructions","from_cmds","label_cmds","env_cmds","run_cmds","volume_cmds","copy_cmds","entrypoint_cmds","cmd_cmds","workdir_cmds","user_cmds","expose_cmds","maintainer_cmds","arg_cmds","stopsignal_cmds","add_cmds","shell_cmds","total_cmds","cpp","java","ansic","pascal","javascript","python","cs","ruby","php","earlang","perl","sh","xml","yacc","ml","lisp","lex","asm","f90","awk","obj","tcl","sed","total_loc","apt.get","cURL","wget","yum","gitclone","npm","resource1","resource2","resource3","resource4","tot_kbs","tot_cmd_network","bitrate","average_time"
"dockerfile_loc",1,-0.0507311002442868,0.2469250291851,0.591693984495693,0.506720314484993,0.322529158527224,0.111550638818419,0.200168158680616,0.196745219706846,-0.0359450313232651,0.164721469163264,0.239347416835017,-0.151242632902855,0.102023070817246,0.107519527230611,-0.211945641733575,0.0085112809532015,0.540543159089451,-0.0399112033237821,0.0235855176750897,0.200661699033562,0.300874888338834,0.0409521789705066,0.084413340815344,0.121021883758741,0.0400251986694504,-0.0914948082769326,0.0634575673700245,0.266388711151048,-0.0937366911804285,0.0588042996383704,0.100181604747561,-0.0787074125259974,NA,0.328355460969908,0.0580282893883705,0.262770138239936,0.0513801201031472,-0.0950969074828317,0.0685485460291522,0.111155075952067,-0.0776416021719404,-0.0434125482820835,0.0677058641319851,0.0199669713879209,0.0728839253794135,0.0214695719280894,0.064501423872967,0.0613192877202218,0.0742520730152434,0.0239658454696985,-0.0631326458332833,0.080216911543741,0.0085112809532015,0.184194778494831,0.00853485317950177,0.0612720528714244,0.0708287008762015,0.0996197164236267,0.299569768040186,0.206410180724924,0.50684219090019,-0.159696199328111,0.0145482630056974,-0.0942821792187114,0.0161535143297159,0.232642703139664,0.260940454227521,0.20483546750336,0.196504075657211,0.548145951289623,NA,0.328381752907139
"from",-0.0507311002442868,1,-0.111896426264992,-0.18439658200989,-0.123339077198615,-0.136859511610383,0.334476252660245,-0.0670623180135797,-0.297056764492843,-0.0377372369336344,-0.0765944409567813,-0.0499878870561857,-0.0638153444717276,0.214181529354356,-0.0357599269926076,-0.0357599269926076,-0.0251048222626717,-0.0135663033419592,0.252330373718131,0.206690342183731,0.0905746123225681,-0.0178661141511959,0.181824428899625,0.18381797758971,-0.16152480828555,-0.0052990538551303,-0.0377372369336344,0.0920950592844731,0.192081338376119,0.215832068696011,0.0189012303287953,-0.0513214319426707,-0.0251048222626717,NA,0.027581168711564,-0.0510307379928263,-0.0426513064873673,-0.0644294435880094,-0.0402242507278527,-0.0490436387103868,-0.0595102058918252,-0.0333793673006088,-0.0298314457258365,-0.0343764890569376,-0.0253747624669436,-0.0497743707721955,-0.0578125162286354,-0.0544891635774802,-0.0424880465433103,-0.0340156223358121,-0.0307879387777826,-0.0251048222626717,-0.047555209393609,-0.0251048222626717,-0.031452093743194,-0.0251743507572494,-0.0251655463738754,-0.0350514498570919,-0.0739880792227122,-0.0814014352180429,-0.024835679793411,-0.0772568485737992,-0.0251048222626717,-0.0340185481737738,-0.0251048222626717,0.276253598063663,-0.049710747706629,-0.0497927723688904,-0.0251800071818655,0.203852902441451,-0.121167393284911,NA,0.0434137074360942
"label",0.2469250291851,-0.111896426264992,1,0.0370109017441622,0.0524808863904377,0.104056381344932,0.113241214946335,0.0916282012464055,0.228102876860126,0.0343470110764652,0.16870636507084,0.160864715314504,-0.061050973914432,0.0288994546045035,0.0787645581423532,-0.0906985821033158,-0.0636738375794442,0.195196938157498,0.113040217085257,0.135467062014317,0.21636501712982,0.180072404746405,-0.113268535784019,-0.0347533181208699,0.058965532641694,-0.0851879448942154,-0.0144257446521154,-0.0158063310839203,-0.0883374798610281,-0.0370433893288318,-0.0849726480424758,-0.00856365280948918,-0.0636738375794442,NA,0.187479059666883,-0.120454475904824,0.0884345868932189,0.329671250685055,-0.0718077948894845,-0.111042402071235,-0.0578944079822045,-0.00877284426118349,-0.0756620624528879,0.166153874896311,0.173609841392381,0.0717355407204522,0.33422964790004,0.24853457235153,-0.0711369324617152,-0.039175843346119,0.159356821429085,-0.0636738375794442,-0.113486545872334,-0.0636738375794442,-0.0797725428040717,0.412044779908942,-0.0638278532961653,0.143323827932384,0.0580074414495589,0.224975637158546,-0.0115000393303698,0.356675975192137,-0.0636738375794442,0.144019395216538,-0.0636738375794442,-0.0790038985093613,0.0656952499672476,0.418746448579986,0.17478713615496,0.166879780319647,0.357545838520274,NA,0.265194341675409
"env",0.591693984495693,-0.18439658200989,0.0370109017441622,1,0.530491642947485,0.144416149183202,0.0796409256377601,0.110851860885338,0.260084951202732,0.156924449173548,0.189790881932278,0.308215903494099,-0.0181424727557022,0.25899206970889,0.0278238823215192,-0.200117922850927,-0.0338078397533163,0.726030491813973,-0.0963740814740489,-0.037447189794527,0.22531149924312,0.0570980226250542,-0.0402912820997064,0.151995521336949,0.111670211192747,0.152100060448468,0.00384996195224602,0.107248975295379,0.179678044659988,-0.0532865592337228,0.262528565883251,0.0126706959706917,-0.0871490980307708,NA,0.115936408015489,-0.0258279828156182,0.476548223202488,-0.0352867190485437,-0.0720749571975744,0.0216118360466269,0.0987463114870418,-0.0937239445347195,0.208622978138932,0.0136341028275147,-0.034738353865482,-0.00104096379273385,0.0324218261949118,0.181707083926006,0.139027561407625,0.0473636645209583,-0.0393962496218723,-0.0871490980307708,0.000324109650679786,-0.0338078397533163,0.0601134381464552,0.0194416709507272,0.0199627334314763,-0.0168340794281575,0.043898240704998,0.160055749897891,0.100127149568875,0.388413241168461,0.0195334185241383,-0.0871148742111479,-0.0338078397533163,0.218328343755412,0.118341532245578,0.263033957858352,0.339338423295285,0.363611404718207,0.341364893494822,NA,0.370327675938153
"run",0.506720314484993,-0.123339077198615,0.0524808863904377,0.530491642947485,1,0.485854057588479,0.287731649528381,0.310542580598131,0.18579858173676,-0.00285615571464406,0.0262156682735751,0.303208508145418,-0.0852683617310914,0.16442950627998,-0.0347334466181696,-0.19130961867468,-0.0518647939861455,0.748423207784507,-0.134115562568291,-0.00916565193782888,0.165516952728367,0.0467123093965529,0.0249623375594321,0.0671400790241073,0.128173706770732,0.0371140305679599,-0.18311131637218,-0.0055983246731586,0.0685514455325152,-0.0941225817893058,0.104455502127985,-0.049848262193524,-0.106825993583404,NA,0.0732180856390489,-0.0294040502140236,0.265542616980617,-0.0788946501684082,-0.0220586161831526,-0.00844958673294614,-0.0149468089510775,-0.100625861640416,0.120319071965522,0.00947883807024362,0.00196127222907779,-0.0526674652096154,-0.0440264547187734,0.0749612895590744,-0.0352425700917682,-0.0697877163277368,-0.00361517085613559,-0.106825993583404,-0.00127596490781615,-0.0518647939861455,-0.117768239092369,-0.0520084349571791,0.0583292596470237,-0.0195174200789219,-0.00878868837979986,0.367631625068976,0.133895773311352,0.303123344525967,0.332863603194665,-0.0702799236847804,0.00309640561111316,-0.033505065778279,0.267877022210413,0.192455191150532,0.277763484378411,0.12807644180339,0.506881253977778,NA,0.271470196833428
"volume",0.322529158527224,-0.136859511610383,0.104056381344932,0.144416149183202,0.485854057588479,1,0.318078160118365,0.434164795947347,0.122402979623421,0.0471967825106676,-0.0175622833555307,0.426201351700085,0.00573810732058096,0.205563896107298,-0.110932619251107,-0.110932619251107,-0.0778788975158534,0.510048186243472,0.0865253941187898,-0.144417334139763,0.051479773207867,0.153423789664032,0.108021319506051,0.0111726493671886,0.098703132634075,-0.0961802726681616,-0.149919191504473,0.00851754304404821,-0.0686957872132007,-0.0686177835114061,0.10534460963654,-0.0363406655298917,-0.0778788975158534,NA,0.142158626571955,-0.0230089299770228,0.0636202747801827,-0.0763944557941945,-0.124781616348837,0.00213453665728063,-0.0517694671046785,-0.0989173614274722,-0.0922206368856469,0.132118382091947,-0.0787162922316551,-0.016267873745761,-0.0553347739417548,-0.0530354537636378,-0.131804248115124,-0.105521526426723,-0.0826136091261872,-0.0778788975158534,-0.00534367463510225,-0.0778788975158534,-0.0975690789465301,-0.0780945852609006,0.16234901263494,-0.0924406596766553,-0.0409645780317451,0.234678332339293,0.160787431289453,0.207025717294768,0.162529873076564,-0.105530602811824,-0.0778788975158534,-0.0543124641927496,0.302507511490134,0.156296304010688,0.162309169128402,0.0896858502631903,0.342586988329957,NA,0.10304861269842
"copy",0.111550638818419,0.334476252660245,0.113241214946335,0.0796409256377601,0.287731649528381,0.318078160118365,1,0.462268558196726,-0.171581881823332,-0.0350561499695936,0.13255058994408,0.358090205222826,-0.0555100135410928,0.470415564827101,-0.00785833385082715,-0.147343759703009,-0.00551684780135414,0.567764465835604,0.0387681720336112,0.116068675615663,0.286594347711505,-0.0293985419784827,-0.0107026005336171,0.323502434877738,0.208807609763991,-0.0838425892002774,-0.135418514801898,0.287092199187329,0.269397391158993,-0.0578048733356464,0.377541494683745,-0.0112780136825051,-0.10344089627539,NA,0.0634689281723572,-0.0975682530058005,0.063593842242238,0.00231915138196045,-0.0685562413205867,-0.0641866914002033,-0.112256415140083,-0.13376285396762,-0.122693578476507,0.0939454660497888,-0.104553146996725,-0.123148958184291,0.191381174481971,-0.0570091033909682,-0.0876900757357329,-0.140156597205366,-0.116261650851466,-0.10344089627539,-0.0642438805277784,-0.00551684780135414,-0.00691167666512921,0.0923953805710089,-0.00576399202831526,-0.109912246032338,-0.101629865589557,0.0594016698464056,0.251864468888254,0.108110717093398,-0.00551684780135414,-0.121212511105409,-0.00551684780135414,0.0871285488025197,0.250777703474152,0.141963165964946,0.190036772577557,0.19880562893111,0.18993262437602,NA,0.109350748773934
"entrypoint",0.200168158680616,-0.0670623180135797,0.0916282012464055,0.110851860885338,0.310542580598131,0.434164795947347,0.462268558196726,1,0.266470436458706,-0.0628085288623486,0.0780763315142435,0.343371666549741,-0.299572344757639,0.186299755585322,0.00239814359612064,-0.167870051728445,-0.117851130197758,0.443846451827304,-0.118739829549883,0.128179759914446,0.207040843075747,0.148454052805226,0.0702581756425717,0.171735128274494,0.371832808111668,0.0904662428029187,0.0352003843074701,0.231868746094979,0.276244125230475,-0.0511766315719159,0.06550424617066,0.125623297929586,-0.117851130197758,NA,0.215554998019572,0.0313591456096408,-0.199952356516284,0.0978315390610044,0.0269422964856526,0.0951991033758636,0.000901021810428679,-0.147485620586354,-0.139720450496015,0.135356478245104,-0.119118327305405,-0.0936412610809349,0.0257294873843583,-0.142332897242423,-0.0229370122996983,-0.159681653775984,-0.118833867480672,-0.117851130197758,0.0624723857140449,-0.117851130197758,0.081979528824121,0.120900358027169,0.120940717299785,-0.0802866168604413,-0.00431098888242716,0.0411577526310258,0.1420912324982,0.143993347005368,0.121218305346265,-0.159695388719293,0.121218305346265,0.0996819550760566,0.055449170822241,-0.0188841870982277,-0.118200678320585,0.0781040478875054,0.156376975481569,NA,-0.218958330344062
"cmd",0.196745219706846,-0.297056764492843,0.228102876860126,0.260084951202732,0.18579858173676,0.122402979623421,-0.171581881823332,0.266470436458706,1,0.0543582403224456,-0.146203017659222,0.219352272553368,0.130088727117598,-0.193539018277751,0.0728972541446915,0.0728972541446915,-0.279145263119541,0.193406494093563,-0.0641984288221239,0.0482746550302052,-0.0640714022740165,0.174224208991413,-0.142805457627319,-0.135968051006934,-0.0610892812498594,0.180130468379103,-0.0810605338141732,-0.118494016934639,-0.114368040143934,-0.0342839651484387,-0.19898007845826,0.104619661784202,0.0511766315719159,NA,0.137426244699732,0.10178275167458,0.0869454551530679,0.129869391658718,-0.0556830148844409,0.0998575056266772,0.11881694728311,0.0680444404096379,0.0607498871251138,0.0336827334225689,0.0517269095319002,0.101157872859272,-0.0108267360269299,0.111751342384877,0.086612646821663,0.0693414577388858,0.0627617667714809,0.0511766315719159,0.0598822224065546,-0.279145263119541,-0.0324464090542042,0.0504151990229414,0.0513004187644357,0.0714530107653897,0.142096565133734,0.0884276410113262,0.0608398734637708,0.176669153673142,0.0511766315719159,0.00540369522952035,0.0511766315719159,0.135135238961898,0.100981539646159,0.0110863110290891,0.0513298973815316,0.145913939712285,0.192707372370407,NA,0.179345449842554
"workdir",-0.0359450313232651,-0.0377372369336344,0.0343470110764652,0.156924449173548,-0.00285615571464406,0.0471967825106676,-0.0350561499695936,-0.0628085288623486,0.0543582403224456,1,0.23050125118707,0.203658215377832,0.0334960782247868,-0.0622209169996572,0.0187700516509431,-0.129304800262052,0.117131437384398,0.163609452309631,-0.0793178573787071,-0.0687847890935582,0.0706651959648234,-0.0768473006136386,0.155528501884046,-0.125885146716239,-0.119964867505683,-0.1194687776966,0.445978391356543,-0.146400647303893,-0.116215981437304,0.078222830176541,-0.123533438357955,0.026938140241825,-0.0907768639729087,NA,-0.0854973330972186,0.167159248481174,0.115598660418449,0.134075630979267,0.16623132906415,0.216274791720036,0.0839635531416027,-0.0423736974910334,-0.107629419286031,-0.0758506563673053,-0.0917529443827846,0.279082965284048,0.176070864339611,0.056958537542646,-0.0896258457138469,-0.0818433334548863,-0.0776568147489007,-0.0907768639729087,0.215668505178447,0.117131437384398,-0.0529508009184647,-0.0904598091616959,0.116918363137282,-0.0844688761681752,0.21113929136066,-0.103631358345655,0.167295542999771,-0.0137721729644593,-0.0907768639729086,-0.0425143289877726,0.117131437384398,0.267120359180917,0.25372962100132,0.0394950266853435,0.116867457734647,0.296969432827782,-0.0156209624742719,NA,0.255838416282994
